ID,FIRST_NAME,LAST_NAME,EMAIL,DOB,AGE,LASTTRANSACTION,DAYSSINCELASTTRANS,COMPANY,PHONE,ADDRESS,POSTALZIP,REGION,COUNTRY
7,Mayer,Dominique V.,ipsum.phasellus@aol.edu,1997-11-27,27,2022-09-01,531,Iaculis Quis Corporation,63171546824,"P.O. Box 443, 6497 Elementum, Rd.",374482,Kaluga Oblast,China
6,Golden,Lane H.,lacus.varius@outlook.net,1970-09-12,54,2022-10-01,501,Risus Associates,638811661136,518-7417 Arcu Av.,82454,San José,Philippines
10,Alford,Reece S.,vel@outlook.edu,1967-10-20,57,2022-07-18,576,Amet Corporation,903069949880,"P.O. Box 427, 691 Vel Av.",43021,Sumy oblast,Turkey
4,Bennett,Nasim Z.,elementum.sem@hotmail.org,1951-10-21,73,2021-12-21,785,Cursus Diam At Ltd,47169772165,Ap #138-7239 Integer St.,4114 DC,Mexico City,Norway
1,Kline,Alisa T.,tempor.bibendum@yahoo.ca,1996-02-10,28,2022-09-21,511,N/A,448454643,Ap #671-8278 Nec St.,8386-3377,Pernambuco,United Kingdom
9,Hyde,Angelica E.,odio.aliquam@hotmail.edu,1951-01-31,73,2022-06-19,605,Magna Limited,445508611528,Ap #671-6622 Feugiat Road,1898-8474,Hatay,United Kingdom
2,Whitney,Kaitlin T.,sapien@yahoo.org,1969-01-23,55,2022-03-15,701,N/A,481513245743,Ap #972-5338 Dignissim. Rd.,65-168,Santa Catarina,Poland
21,Small,Gil U.,id.risus@google.ca,1994-03-17,30,2022-09-22,510,Aliquam Gravida Associates,317042618694,906-9695 Velit. Street,36362,Emilia-Romagna,Netherlands
8,Whitfield,Len F.,quisque.fringilla@protonmail.org,1975-07-19,49,2022-10-12,490,Nec Ante Institute,521375483625,Ap #246-753 Arcu. Avenue,Y2L 5R6,Akwa Ibom,Mexico
5,Brock,Alec N.,enim.nunc.ut@yahoo.couk,1999-12-30,25,2022-10-01,501,Nec Ante Blandit Company,551366269750,597-548 Egestas. Rd.,2892,Vorarlberg,Brazil
20,Sandoval,Quinlan Z.,ut@protonmail.edu,2000-05-14,24,2022-10-12,490,Suspendisse Foundation,15567878637,166-7842 Eget Road,537423,Huádōng,United States
22,Kirby,Cameron D.,nunc@hotmail.com,1989-12-01,35,2022-10-22,480,Suspendisse Foundation,1800473297,5034 Lacus. Rd.,95804,Khyber Pakhtoonkhwa,United States
11,Huber,Nora Y.,noray32@yahoo.org,1999-12-23,25,2022-05-29,626,LETNI,481515895743,Ap 10 Dignissim. Rd.,65-168,Santa Catarina,Poland
